Seat,PrimaryDistrict,SeconDistrict,Province,FemaleTurnout,MaleTurnout,TotalTurnout
NA-1,Chitral,,KP,61.57,60.49,60.96
NA-2,Swat,,KP,24.95,57.03,43.28
NA-3,Swat,,KP,18.78,56.75,40.35
NA-4,Swat,,KP,20.47,53.08,39.22
NA-5,Upper Dir,,KP,37.92,55.16,48.25
NA-6,Lower Dir,,KP,35.47,58.41,48.9
NA-7,Lower Dir,,KP,31.24,52.89,44.21
NA-8,Malakand,,KP,38.27,55.93,48.24
NA-9,Buner,,KP,21.36,55.64,40.62
NA-10,Shangla,,KP,7.81,54.47,34.27
NA-11,Kohistan,,KP,27.93,50.4,40.89
NA-12,Batagram,,KP,13.48,50.8,35.49
NA-13,Mansehra,,KP,43.55,54.21,49.55
NA-14,Mansehra,,KP,37.32,44.77,41.49
NA-15,Abbottabad,,KP,48.77,52.03,50.56
NA-16,Abbottabad,,KP,45.92,53.16,49.83
NA-17,Haripur,,KP,50.07,54.06,52.22
NA-18,Swabi,,KP,34.28,50.47,43.39
NA-19,Swabi,,KP,33.17,55.27,45.66
NA-20,Mardan,,KP,33.82,53.42,45.16
NA-21,Mardan,,KP,32.47,55.63,45.9
NA-22,Mardan,,KP,42.72,57.89,51.59
NA-23,Charsadda,,KP,28.77,52.03,42.18
NA-24,Charsadda,,KP,31.61,55.94,45.29
NA-25,Nowshera,,KP,38.87,56.64,48.79
NA-26,Nowshera,,KP,40.5,57.1,49.86
NA-27,Peshawar,,KP,28.92,57.87,45.83
NA-28,Peshawar,,KP,28.83,56.08,44.71
NA-29,Peshawar,,KP,24.78,51.57,40.62
NA-30,Peshawar,,KP,27.09,51.17,40.64
NA-31,Peshawar,,KP,28.1,52.7,39.64
NA-32,Kohat,,KP,33.1,43.5,38.94
NA-33,Hangu,,KP,19.09,36.98,29.46
NA-34,Karak,,KP,47.23,51.63,49.68
NA-35,Bannu,,KP,28.83,52.98,42.55
NA-36,Lakki Marwat,,KP,38.82,58.86,50.06
NA-37,Tank,,KP,43.56,43.8,43.7
NA-38,Dera Ismail Khan,,KP,47.14,60.97,54.82
NA-39,Dera Ismail Khan,,KP,3,3.76,3.44
NA-40,Bajaur Agency,,FATA,25.99,51.66,40.9
NA-41,Bajaur Agency,,FATA,25.95,46.55,38.16
NA-42,Mohmand Agency,,FATA,6.33,27.95,0.12
NA-43,Khyber Agency,,FATA,26.16,47.17,37.9
NA-44,Khyber Agency,,FATA,9.49,37.29,25.31
NA-45,Kurram Agency,,FATA,31.66,37.43,34.97
NA-46,Kurram Agency,,FATA,43.87,42.63,43.17
NA-47,Orakzai Agency,,FATA,27.17,37.27,32.87
NA-48,North Waziristan Agency,,FATA,8.19,29.28,23.32
NA-49,South Waziristan Agency,,FATA,14.77,25.67,15.1
NA-50,South Waziristan Agency,,FATA,16.75,40.21,33
NA-51,FR Peshawar,FR Tank - FR Bannu - FR DI Khan - FR Lakki Marwat - FR Kohat,FATA,36.5,45.45,41.89
NA-52,Islamabad,,ICT,60.96,67.13,64.25
NA-53,Islamabad,,ICT,51.36,61.07,56.53
NA-54,Islamabad,,ICT,49.45,58.45,54.24
NA-55,Attock,,Punjab,35.05,58.16,53.46
NA-56,Attock,,Punjab,63.03,62.19,53.2
NA-57,Rawalpindi,,Punjab,51.4,58.83,55.32
NA-58,Rawalpindi,,Punjab,54.76,52.94,53.81
NA-59,Rawalpindi,,Punjab,56.44,60.87,58.78
NA-60,Rawalpindi,,Punjab,0,0,0
NA-61,Rawalpindi,,Punjab,45.59,56.6,51.38
NA-62,Rawalpindi,,Punjab,44.87,58.2,52
NA-63,Rawalpindi,,Punjab,52.72,63.01,58.13
NA-64,Chakwal,,Punjab,60.72,55.67,58.14
NA-65,Chakwal,,Punjab,59.01,55.81,57.35
NA-66,Jhelum,,Punjab,52.88,51.07,51.94
NA-67,Jhelum,,Punjab,51.94,51.8,51.87
NA-68,Gujrat,,Punjab,56.31,50.31,53
NA-69,Gujrat,,Punjab,44.49,48.35,46.6
NA-70,Gujrat,,Punjab,51.85,47.99,49.73
NA-71,Gujrat,,Punjab,52.69,49.28,50.87
NA-72,Sialkot,,Punjab,59.34,57.16,58.1
NA-73,Sialkot,,Punjab,48.28,55.09,51.99
NA-74,Sialkot,,Punjab,56.09,54.85,55.43
NA-75,Sialkot,,Punjab,55.18,56.35,55.84
NA-76,Sialkot,,Punjab,58.1,57.33,57.67
NA-77,Narowal,,Punjab,56.32,53.78,54.86
NA-78,Narowal,,Punjab,53.58,56.2,55.06
NA-79,Gujranwala,,Punjab,53.83,61.9,54.65
NA-80,Gujranwala,,Punjab,47.63,57.75,53.36
NA-81,Gujranwala,,Punjab,43.13,56.62,50.58
NA-82,Gujranwala,,Punjab,43.95,58.52,52.26
NA-83,Gujranwala,,Punjab,49.46,59.23,55.07
NA-84,Gujranwala,,Punjab,52.87,60.62,57.36
NA-85,Mandi Bahauddin,,Punjab,52.75,54.01,53.44
NA-86,Mandi Bahauddin,,Punjab,52.17,57.24,55.05
NA-87,Hafizabad,,Punjab,54.9,62.42,59.13
NA-88,Sargodha,,Punjab,55.34,58.54,57.1
NA-89,Sargodha,,Punjab,52.27,64.21,58.93
NA-90,Sargodha,,Punjab,46.64,58.44,52.97
NA-91,Sargodha,,Punjab,56.37,61.95,59.46
NA-92,Sargodha,,Punjab,55.33,58.03,56.81
NA-93,Khushab,,Punjab,56.09,59.45,57.86
NA-94,Khushab,,Punjab,56.78,61.88,59.49
NA-95,Mianwali,,Punjab,51.57,56.61,54.29
NA-96,Mianwali,,Punjab,52.24,62.71,57.94
NA-97,Bhakkar,,Punjab,60.66,70.24,65.96
NA-98,Bhakkar,,Punjab,63.57,71.57,67.98
NA-99,Chiniot,,Punjab,51.1,59.19,55.56
NA-100,Chiniot,,Punjab,56,66.28,61.67
NA-101,Faisalabad,,Punjab,53.53,61.85,58.19
NA-102,Faisalabad,,Punjab,48.03,60.07,54.67
NA-103,Faisalabad,,Punjab,0,0,0
NA-104,Faisalabad,,Punjab,52.54,58.55,55.87
NA-105,Faisalabad,,Punjab,51.17,61.4,56.84
NA-106,Faisalabad,,Punjab,52.13,64.24,58.92
NA-107,Faisalabad,,Punjab,49.06,64.43,57.52
NA-108,Faisalabad,,Punjab,48.57,63.93,57.01
NA-109,Faisalabad,,Punjab,50.56,64.44,58.04
NA-110,Faisalabad,,Punjab,48.7,63.9,57.01
NA-111,Toba Tek Singh,,Punjab,55.27,60.74,58.32
NA-112,Toba Tek Singh,,Punjab,57.68,60.46,59.21
NA-113,Toba Tek Singh,,Punjab,57.35,61.89,59.89
NA-114,Jhang,,Punjab,59.08,64.95,62.44
NA-115,Jhang,,Punjab,52.24,61.62,57.38
NA-116,Jhang,,Punjab,58.71,64.74,62.15
NA-117,Nankana Sahib,,Punjab,54.43,61.51,58.39
NA-118,Nankana Sahib,,Punjab,53.32,62.6,58.63
NA-119,Sheikhupura,,Punjab,48.25,61.55,56.04
NA-120,Sheikhupura,,Punjab,53.26,63.79,59.34
NA-121,Sheikhupura,,Punjab,48.98,61.56,56.15
NA-122,Sheikhupura,,Punjab,53.05,61.2,57.82
NA-123,Lahore,,Punjab,40.4,59.23,51.12
NA-124,Lahore,,Punjab,40.28,54.9,48.49
NA-125,Lahore,,Punjab,0,0,51.53
NA-126,Lahore,,Punjab,46.19,57.31,52.25
NA-127,Lahore,,Punjab,42.94,56.85,50.74
NA-128,Lahore,,Punjab,47.51,61,55.2
NA-129,Lahore,,Punjab,47.99,58.88,53.95
NA-130,Lahore,,Punjab,48.07,57.36,52.99
NA-131,Lahore,,Punjab,47.53,56.8,52.59
NA-132,Lahore,,Punjab,52.29,65.87,60.45
NA-133,Lahore,,Punjab,44.88,57.73,51.89
NA-134,Lahore,,Punjab,46.46,58.51,53.39
NA-135,Lahore,,Punjab,48.7,58.26,53.94
NA-136,Lahore,,Punjab,47.93,61.9,56.08
NA-137,Kasur,,Punjab,52.98,63.46,58.9
NA-138,Kasur,,Punjab,56.11,66.98,62.38
NA-139,Kasur,,Punjab,55.41,63.46,59.98
NA-140,Kasur,,Punjab,54.3,65.37,60.65
NA-141,Okara,,Punjab,56.74,63.01,60.23
NA-142,Okara,,Punjab,52.39,60.44,56.8
NA-143,Okara,,Punjab,54.27,61.27,58.21
NA-144,Okara,,Punjab,52.48,61.11,57.41
NA-145,Pakpattan,,Punjab,53.46,60.89,57.61
NA-146,Pakpattan,,Punjab,56.27,62.29,59.55
NA-147,Sahiwal,,Punjab,50.62,60.37,56.04
NA-148,Sahiwal,,Punjab,51.83,59.42,56.09
NA-149,Sahiwal,,Punjab,55.02,58.39,56.91
NA-150,Khanewal,,Punjab,54.63,63.92,59.87
