seat,district,province
PK-1,Chitral,KP
PK-2,Swat,KP
PK-3,Swat,KP
PK-4,Swat,KP
PK-5,Swat,KP
PK-6,Swat,KP
PK-7,Swat,KP
PK-8,Swat,KP
PK-9,Swat,KP
PK-10,Upper Dir,KP
PK-11,Upper Dir,KP
PK-12,Upper Dir,KP
PK-13,Lower Dir,KP
PK-14,Lower Dir,KP
PK-15,Lower Dir,KP
PK-16,Lower Dir,KP
PK-17,Lower Dir,KP
PK-18,Malakand,KP
PK-19,Malakand,KP
PK-20,Buner,KP
PK-21,Buner,KP
PK-22,Buner,KP
PK-23,Shangla,KP
PK-24,Shangla,KP
PK-25,Kohistan,KP
PK-26,Kohistan,KP
PK-27,Kohistan,KP
PK-28,Batagram,KP
PK-29,Batagram,KP
PK-30,Mansehra,KP
PK-31,Mansehra,KP
PK-32,Mansehra,KP
PK-33,Mansehra,KP
PK-34,Mansehra,KP
PK-35,Tor Ghar,KP
PK-36,Abbottabad,KP
PK-37,Abbottabad,KP
PK-38,Abbottabad,KP
PK-39,Abbottabad,KP
PK-40,Haripur,KP
PK-41,Haripur,KP
PK-42,Haripur,KP
PK-43,Swabi,KP
PK-44,Swabi,KP
PK-45,Swabi,KP
PK-46,Swabi,KP
PK-47,Swabi,KP
PK-48,Mardan,KP
PK-49,Mardan,KP
PK-50,Mardan,KP
PK-51,Mardan,KP
PK-52,Mardan,KP
PK-53,Mardan,KP
PK-54,Mardan,KP
PK-55,Mardan,KP
PK-56,Charsadda,KP
PK-57,Charsadda,KP
PK-58,Charsadda,KP
PK-59,Charsadda,KP
PK-60,Charsadda,KP
PK-61,Nowshera,KP
PK-62,Nowshera,KP
PK-63,Nowshera,KP
PK-64,Nowshera,KP
PK-65,Nowshera,KP
PK-66,Peshawar,KP
PK-67,Peshawar,KP
PK-68,Peshawar,KP
PK-69,Peshawar,KP
PK-70,Peshawar,KP
PK-71,Peshawar,KP
PK-72,Peshawar,KP
PK-73,Peshawar,KP
PK-74,Peshawar,KP
PK-75,Peshawar,KP
PK-76,Peshawar,KP
PK-77,Peshawar,KP
PK-78,Peshawar,KP
PK-79,Peshawar,KP
PK-80,Kohat,KP
PK-81,Kohat,KP
PK-82,Kohat,KP
PK-83,Hangu,KP
PK-84,Hangu,KP
PK-85,Karak,KP
PK-86,Karak,KP
PK-87,Bannu,KP
PK-88,Bannu,KP
PK-89,Bannu,KP
PK-90,Bannu,KP
PK-91,Lakki Marwat,KP
PK-92,Lakki Marwat,KP
PK-93,Lakki Marwat,KP
PK-94,Tank,KP
PK-95,Dera Ismail Khan,KP
PK-96,Dera Ismail Khan,KP
PK-97,Dera Ismail Khan,KP
PK-98,Dera Ismail Khan,KP
PK-99,Dera Ismail Khan,KP
PP-1,Attock,Punjab
PP-2,Attock,Punjab
PP-3,Attock,Punjab
PP-4,Attock,Punjab
PP-5,Attock,Punjab
PP-6,Rawalpindi,Punjab
PP-7,Rawalpindi,Punjab
PP-8,Rawalpindi,Punjab
PP-9,Rawalpindi,Punjab
PP-10,Rawalpindi,Punjab
PP-11,Rawalpindi,Punjab
PP-12,Rawalpindi,Punjab
PP-13,Rawalpindi,Punjab
PP-14,Rawalpindi,Punjab
PP-15,Rawalpindi,Punjab
PP-16,Rawalpindi,Punjab
PP-17,Rawalpindi,Punjab
PP-18,Rawalpindi,Punjab
PP-19,Rawalpindi,Punjab
PP-20,Rawalpindi,Punjab
PP-21,Chakwal,Punjab
PP-22,Chakwal,Punjab
PP-23,Chakwal,Punjab
PP-24,Chakwal,Punjab
PP-25,Jhelum,Punjab
PP-26,Jhelum,Punjab
PP-27,Jhelum,Punjab
PP-28,Gujrat,Punjab
PP-29,Gujrat,Punjab
PP-30,Gujrat,Punjab
PP-31,Gujrat,Punjab
PP-32,Gujrat,Punjab
PP-33,Gujrat,Punjab
PP-34,Gujrat,Punjab
PP-35,Sialkot,Punjab
PP-36,Sialkot,Punjab
PP-37,Sialkot,Punjab
PP-38,Sialkot,Punjab
PP-39,Sialkot,Punjab
PP-40,Sialkot,Punjab
PP-41,Sialkot,Punjab
PP-42,Sialkot,Punjab
PP-43,Sialkot,Punjab
PP-44,Sialkot,Punjab
