seat,district,province
PK-1,Peshawar,KP
PK-2,Peshawar,KP
PK-3,Peshawar,KP
PK-4,Peshawar,KP
PK-5,Peshawar,KP
PK-6,Peshawar,KP
PK-7,Peshawar,KP
PK-8,Peshawar,KP
PK-9,Peshawar,KP
PK-10,Peshawar,KP
PK-11,Peshawar,KP
PK-12,Nowshera,KP
PK-13,Nowshera,KP
PK-14,Nowshera,KP
PK-15,Nowshera,KP
PK-16,Nowshera,KP
PK-17,Charsadda,KP
PK-18,Charsadda,KP
PK-19,Charsadda,KP
PK-20,Charsadda,KP
PK-21,Charsadda,KP
PK-22,Charsadda,KP
PK-23,Mardan,KP
PK-24,Mardan,KP
PK-25,Mardan,KP
PK-26,Mardan,KP
PK-27,Mardan,KP
PK-28,Mardan,KP
PK-29,Mardan,KP
PK-30,Mardan,KP
PK-31,Swabi,KP
PK-32,Swabi,KP
PK-33,Swabi,KP
PK-34,Swabi,KP
PK-35,Swabi,KP
PK-36,Swabi,KP
PK-37,Kohat,KP
PK-38,Kohat,KP
PK-39,Kohat,KP
PK-40,Karak,KP
PK-41,Karak,KP
PK-42,Hangu,KP
PK-43,Hangu,KP
PK-44,Abbottabad,KP
PK-45,Abbottabad,KP
PK-46,Abbottabad,KP
PK-47,Abbottabad,KP
PK-48,Abbottabad,KP
PK-49,Haripur,KP
PK-50,Haripur,KP
PK-51,Haripur,KP
PK-52,Haripur,KP
PK-53,Mansehra,KP
PK-54,Mansehra,KP
PK-55,Mansehra,KP
PK-56,Mansehra,KP
PK-57,Mansehra,KP
PK-58,Tor Ghar,KP
PK-59,Batagram,KP
PK-60,Batagram,KP
PK-61,Kohistan,KP
PK-62,Kohistan,KP
PK-63,Kohistan,KP
PK-64,Dera Ismail Khan,KP
PK-65,Dera Ismail Khan,KP
PK-66,Dera Ismail Khan,KP
PK-67,Dera Ismail Khan,KP
PK-68,Dera Ismail Khan,KP
PK-69,Tank,KP
PK-70,Bannu,KP
PK-71,Bannu,KP
PK-72,Bannu,KP
PK-73,Bannu,KP
PK-74,Lakki Marwat,KP
PK-75,Lakki Marwat,KP
PK-76,Lakki Marwat,KP
PK-77,Buner,KP
PK-78,Buner,KP
PK-79,Buner,KP
PK-80,Swat,KP
